Open,High,Low,Close,Volume,Dividends,Stock Splits
311.2085266113281,311.53228759765625,308.8324279785156,308.8324279785156,2448700,0,0.0
312.3044128417969,313.5796203613281,310.9544677734375,312.20477294921875,3927000,0,0.0
312.4189758300781,312.74774169921875,309.6094970703125,310.8299255371094,6031900,0,0.0
311.7614440917969,311.7614440917969,302.0478515625,302.9942932128906,7987100,0,0.0
303.5621643066406,303.8610534667969,295.21844482421875,295.94073486328125,12876600,0,0.0
294.8946533203125,300.4986572265625,293.4550476074219,299.8859558105469,9483900,0,0.0
301.1014099121094,301.1014099121094,295.9108581542969,299.4326477050781,14479800,0,0.0
297.7091064453125,297.9631652832031,292.9021301269531,294.13751220703125,9742900,0,0.0
287.1686096191406,293.0914306640625,285.8784484863281,292.4488220214844,13041800,0,0.0
290.8597717285156,295.99053955078125,290.31683349609375,293.82366943359375,8511900,0,0.0
295.5621643066406,295.6717529296875,287.94073486328125,288.91705322265625,10909600,0,0.0
289.51483154296875,294.10760498046875,287.0690002441406,292.71282958984375,8665700,0,0.0
291.8959045410156,291.8959045410156,286.57086181640625,289.1213073730469,6525700,0,0.0
290.6306457519531,292.3143310546875,285.0565490722656,290.4014892578125,12662600,0,0.0
281.1960144042969,284.234619140625,266.43133544921875,273.9780578613281,13651700,0,0.0
272.2744445800781,273.9132995605469,266.755126953125,268.99176025390625,8872800,0,0.0
267.98052978515625,273.7738342285156,267.1436767578125,270.1972351074219,8743600,0,0.0
269.6243896484375,272.8024597167969,266.655517578125,270.037841796875,7958400,0,0.0
271.2283630371094,272.4786682128906,264.3092956542969,266.14739990234375,6482300,0,0.0
268.23956298828125,269.4848937988281,261.8236083984375,263.98052978515625,8311900,0,0.0
266.3018493652344,266.9045715332031,264.15985107421875,265.5147705078125,4518400,0,0.0
266.4811706542969,266.4811706542969,262.81988525390625,264.5683288574219,8223000,0,0.0
263.347900390625,270.037841796875,263.12872314453125,269.40020751953125,6020500,0,0.0
267.4973449707031,267.9954833984375,261.7987060546875,262.40643310546875,6780600,0,0.0
263.2134094238281,265.7538757324219,260.2545166015625,264.65301513671875,6335600,0,0.0
265.2557678222656,269.9880065917969,264.7725524902344,265.73895263671875,5408700,0,0.0
268.7626037597656,269.75390625,266.53594970703125,267.2184143066406,5660200,0,0.0
266.0378112792969,267.890869140625,262.8597412109375,266.22711181640625,5369000,0,0.0
265.6642150878906,269.23583984375,263.7613525390625,267.198486328125,4838000,0,0.0
265.4898681640625,267.57208251953125,264.2594909667969,265.5646057128906,4576400,0,0.0
267.4325866699219,271.0490417480469,266.15240478515625,269.6393127441406,7336100,0,0.0
269.9880065917969,270.6853942871094,267.80120849609375,268.10009765625,4074500,0,0.0
267.766357421875,271.4873962402344,267.0689697265625,270.5957336425781,4691200,0,0.0
269.2557678222656,270.9992370605469,268.8423156738281,269.3703308105469,5125300,0,0.0
272.65301513671875,272.7277526855469,269.4898986816406,270.38653564453125,4305100,0,0.0
270.48614501953125,270.79998779296875,265.1511535644531,266.53594970703125,5766600,0,0.0
265.99298095703125,268.21466064453125,264.26446533203125,264.74267578125,4670500,0,0.0
262.5758056640625,263.25823974609375,259.0290832519531,262.2320861816406,6643100,0,0.0
262.7252502441406,264.8821716308594,260.7626037597656,262.4164123535156,4113800,0,0.0
263.6119079589844,265.6492919921875,262.8846435546875,265.35040283203125,4492500,0,0.0
266.7402038574219,271.8111877441406,266.5060729980469,269.519775390625,8746200,0,0.0
270.1673583984375,273.0365905761719,268.6181640625,271.6418151855469,6201800,0,0.0
272.2296142578125,277.0266418457031,272.0801696777344,276.259521484375,6391300,0,0.0
279.62689208984375,282.77508544921875,278.90460205078125,281.0515441894531,7853700,0,0.0
281.3354797363281,281.53472900390625,279.45751953125,280.1897888183594,4790600,0,0.0
278.87969970703125,281.27569580078125,277.2109375,279.0490417480469,6376900,0,0.0
280.827392578125,288.16986083984375,280.0552978515625,287.148681640625,11352100,0,0.0
286.05780029296875,292.0104675292969,286.02789306640625,289.48492431640625,8498200,0,0.0
292.97186279296875,293.0415954589844,288.4986267089844,288.68792724609375,5527400,0,0.0
282.2819519042969,283.6617736816406,276.9618835449219,280.5384826660156,9342600,0,0.0
279.8659973144531,283.148681640625,279.3329772949219,281.5447082519531,6888600,0,0.0
283.08892822265625,284.65802001953125,281.07147216796875,281.7240295410156,6668000,0,0.0
281.30560302734375,283.1586608886719,280.42889404296875,282.1424560546875,3567600,0,0.0
278.95440673828125,282.9394836425781,277.5994873046875,278.95440673828125,9624200,0,0.0
277.01666259765625,282.3666076660156,276.1051025390625,277.7090759277344,8039600,0,0.0
277.4799499511719,278.1125793457031,269.9880065917969,273.4749450683594,11043800,0,0.0
271.7364501953125,278.87969970703125,268.8423156738281,277.6243896484375,13179500,0,0.0
278.46624755859375,284.9320068359375,278.28692626953125,280.3890380859375,7891200,0,0.0
281.5795593261719,282.6356201171875,278.9643859863281,280.2944030761719,5412500,0,0.0
280.4488220214844,281.30560302734375,279.23834228515625,280.1748352050781,6232200,0,0.0
280.3641357421875,282.7551574707031,279.0939025878906,282.296875,3970500,0,0.0
281.469970703125,283.80621337890625,280.3541564941406,282.5011291503906,6084200,0,0.0
284.60821533203125,285.654296875,281.71905517578125,283.3379821777344,4221100,0,0.0
284.3840637207031,286.36663818359375,283.4375915527344,284.4388427734375,3817200,0,0.0
283.666748046875,284.37908935546875,281.6443176269531,283.049072265625,4135600,0,0.0
282.5907897949219,283.3130798339844,279.8809509277344,280.7178039550781,5181200,0,0.0
